date,IGAE,T_EMP_MAN,ISBSVM,IAI,X,M,TDU,REMESAS,M4,ANTAD,GASOLINAS,PROD_VEH,INPC,CONF_CONS,CONF_MAN,PEDIDOS_MANU,CONF_COM,CONF_SERV,U_US,TOTAL_NONFARM,TOTAL_CONSTR,TOTAL_MANUF,TOTAL_SERV,MANUF_USA,IPI_EUA,SP_500,IMSS,IPC,TC,TIIE_28,SPEI,TARJETAS,PRECIO,IMEF,OCUP_HOT ,MOVILIDAD,SATELITES
1991/01,,,,,,,,,,,,76098,9.883879895,,,,,,6.4,109058,4972,17330,67523,57.3013,61.0842,,,622.99,,,,,,,,,
1991/02,,,,,,,,,,,,68642,10.05642472,,,,,,6.6,108735,4929,17213,67352,56.8799,60.6387,,,659.16,,,,,,,,,
1991/03,,,,,,,,,,,,66426,10.19983964,,,,,,6.8,108568,4881,17140,67303,56.4856,60.2973,,,803.35,,,,,,,,,
1991/04,,,,,,,,,,,,80176,10.30668755,,,,,,6.7,108350,4842,17093,67178,56.731,60.4524,,,901.14,,,,,,,,,
1991/05,,,,,,,,,,,,82061,10.40744167,,,,,,6.9,108253,4800,17071,67136,57.1412,61.0587,,,1096.17,,,,,,,,,
1991/06,,,,,,,,,,,,79461,10.51664758,,,,,,6.9,108330,4782,17045,67196,57.7026,61.5514,,,1058.02,,,,,,,,,
1991/07,,,,,,,,,,,,90528,10.60958427,,,,,,6.8,108290,4752,17015,67184,58.0287,61.7201,,,1193.65,,,,,,,,,
1991/08,,,,,,,,,,,,79742,10.68342298,,,,,,6.9,108299,4733,17026,67238,58.0766,61.7289,,,1254.6,,,,,,,,,
1991/09,,,,,,,,,,,,70549,10.78985037,,,,,,6.9,108335,4728,17010,67325,58.7061,62.2369,,,1257.27,,,,,,,,,
1991/10,,,,,,,,,,,,101688,10.91534274,,,,,,7,108361,4698,16999,67349,58.6294,62.1718,,,1371.01,,,,,,,,,
1991/11,,,,,,,,,,,,91256,11.1863741,,,,,,7,108300,4640,16961,67357,58.519,62.0894,,,1384.18,3.068176471,,,,,,,,
1991/12,,,,,,,,,,,,74256,11.44967987,,,,,,7.3,108330,4647,16917,67415,58.3786,61.806,,,1431.46,3.06983871,,,,,,,,
1992/01,,,,,,,,,,,,92395,11.65777847,,,,,,7.3,108365,4667,16839,67464,58.0666,61.4823,,,1623.47,3.069222581,,,,,,,,
1992/02,,,,,,,,,,,,80611,11.79590044,,,,,,7.4,108313,4612,16828,67483,58.6297,61.9192,,,1860.63,3.063948276,,,,,,,,
1992/03,,,,,,,,,,,,99611,11.91594772,,,,,,7.4,108367,4621,16805,67526,59.2545,62.4403,,,1875.73,3.067512903,,,,,,,,
1992/04,,,,,,,,,,,,86904,12.02217132,,,,,,7.4,108517,4603,16830,67647,59.5935,62.9199,,,1838.3,3.068413333,,,,,,,,
1992/05,,,,,,,,,,,,91840,12.10143789,,,,,,7.6,108647,4605,16835,67759,59.9495,63.1268,,,1892.33,3.098112903,,,,,,,,
1992/06,,,,,,,,,,,,101180,12.18334519,,,,,,7.8,108707,4584,16826,67847,60.1489,63.1624,,,1599.26,3.118903333,,,,,,,,
1992/07,,,,,,,,,,,,86162,12.26027241,,,,,,7.7,108792,4570,16820,67900,60.7158,63.7348,,,1569.73,3.116080645,,,,,,,,
1992/08,,,,,,,,,,,,75595,12.33559223,,,,,,7.6,108916,4581,16782,67989,60.4337,63.3802,,,1400.37,3.090793548,,,,,,,,
1992/09,,,,,,,,,,,,84463,12.44289652,,,,,,7.6,108952,4584,16760,68104,60.5368,63.5834,,,1327.07,3.08631,,,,,,,,
1992/10,,,,,,,,,,,,96725,12.53249354,,,,,,7.3,109138,4600,16751,68281,60.9187,64.0178,,,1597.33,3.122467742,,,,,,,,
1992/11,,,,,,,,,,,,81131,12.63662034,,,,,,7.4,109283,4606,16758,68401,61.1649,64.2628,,,1715.69,3.119863333,,,,,,,,
1992/12,,,,,,,,,,,,74562,12.81655348,,,,,,7.4,109502,4630,16770,68548,61.1059,64.3599,,,1759.44,3.117906452,,,,,,,,
1993/01,56.27322371,,,63.16057905,3906.074154,5065.204972,,,,,,78042,12.97731976,,,,,,7.3,109790,4664,16790,68758,61.6691,64.6135,438.779999,,1653.22,3.110467742,,,,,,,,
1993/02,57.71449994,,,65.60295615,4003.57205,5340.327446,,,,,,91580,13.08334531,,,,,,7.1,110048,4714,16804,68958,61.8348,64.9262,443.380005,,1546.68,3.098935714,,,,,,,,
