"date","IGAE","GA1","GA2","GA3"
"1981/01","11229886.8424759","426875.257861356","4402685.14018252","5761130.59716423"
"1981/02","11538405.6443222","437960.678250707","4566054.14717918","5889841.19442639"
"1981/03","11604826.3039261","448550.525644001","4590796.5117148","5899646.56245922"
"1981/04","11729803.171789","456344.323497243","4584495.56123279","6039435.90223561"
"1982/01","11616894.6298516","456404.30610814","4581894.79439253","5915827.71152105"
"1982/02","11626873.1619578","448456.643235355","4579129.4638069","5954603.53196652"
"1982/03","11561013.3281264","424143.950837924","4478332.01305759","6001390.85504332"
"1982/04","11281559.9740545","400048.375047952","4290983.84515486","5956915.01517259"
"1983/01","11080619.373705","437480.121286924","4094812.60298653","5929065.29959042"
"1983/02","10880722.4686874","428875.86927562","3993634.8907846","5842936.01211162"
"1983/03","10920827.7463505","442254.125481622","3991546.66625909","5874468.51532164"
"1983/04","11067793.5127387","454757.134637978","4054174.81182152","5931900.0859708"
"1984/01","11375656.7989038","445574.170233825","4132996.40207783","6140641.00274279"
"1984/02","11238037.8209625","447364.141802779","4177743.46190324","5999585.07611089"
"1984/03","11446495.5985385","452903.383041383","4247217.95915724","6099657.99776027"
"1984/04","11430607.9199105","446557.596240757","4302024.69419488","6037593.91081897"
"1985/01","11612093.0714764","442034.979605619","4367289.9992291","6136873.2618881"
"1985/02","11546940.1681099","482556.588339424","4352660.40068987","6084106.6515391"
"1985/03","11605606.6558549","453950.142409076","4377163.06576104","6113328.34317387"
"1985/04","11581710.1937746","469428.639909874","4360871.89664874","6099209.57775905"
"1986/01","11345667.8923105","469658.257331965","4225807.03304404","6012173.51746052"
"1986/02","11204328.8187642","460433.76937114","4109470.45545955","6015692.37572252"
"1986/03","11024508.0911471","459203.786823672","3982101.00258996","5965250.23628202"
"1986/04","10952435.2344758","436559.900808668","3914820.88862451","5975678.27997409"
"1987/01","11063181.1901069","463762.333390767","3990978.86350752","5978580.84101408"
"1987/02","11370009.3174828","464989.47094446","4209800.59181749","6075713.47036664"
"1987/03","11462394.4833155","464316.065818964","4274393.70178923","6071428.9132614"
"1987/04","11560459.095168","452929.454331632","4310794.71303767","6148186.95144172"
"1988/01","11480960.8468467","449024.237634657","4277624.28141444","6125085.43233314"
"1988/02","11443043.0968728","448877.955679835","4228637.62810276","6119905.928877"
"1988/03","11454697.0014456","449664.572440199","4232537.47201448","6121742.16373103"
"1988/04","11630199.704692","433274.01768325","4334687.35958599","6212006.1067231"
"1989/01","11848345.9695141","448053.581442424","4411604.87877335","6333336.7059278"
"1989/02","11833085.2899035","412612.009884954","4423434.73942274","6336529.01235866"
"1989/03","12057397.0014554","470603.379128068","4482705.34196185","6415369.36422301"
"1989/04","11928295.8627131","423655.7680456","4417491.10230163","6420236.17589573"
"1990/01","12238101.5431228","455859.113532094","4601402.8949808","6495882.52250416"
"1990/02","12479456.1158475","466480.732817678","4711893.66114118","6615448.64193953"
"1990/03","12666447.5745149","467758.950927325","4771583.35247021","6703117.89135101"
"1990/04","12788630.800263","483889.002946107","4779719.62873051","6795866.12676564"
"1991/01","12843454.5550535","480617.559457646","4813153.94513342","6856980.89887319"
"1991/02","12983757.1695154","480693.595452773","4825501.05371458","6952285.96507417"
"1991/03","13049787.3583873","479670.89638525","4826317.76378832","7003494.88879477"
"1991/04","13282702.0269995","479421.370225021","4942674.93206043","7085242.6877593"
"1992/01","13278477.1999108","456073.592895971","4974589.32553374","7132833.96298918"
"1992/02","13461668.5573064","469689.115638881","5039468.61927947","7212315.0360461"
"1992/03","13655223.9354621","474589.866714509","5124557.85733995","7280829.32508099"
"1992/04","13651185.8264888","480685.492043604","5044873.27539084","7305792.37472566"
"1993/01","13800297.371598","497624.707557197","5057424.50138466","7497515.47143701"
"1993/02","13803972.7362217","492088.139537102","5023554.22409972","7535987.44376829"
"1993/03","13964823.0367018","508285.78003727","5084337.03499621","7586346.63810885"
"1993/04","14052547.1093554","486901.884624402","5138925.36639071","7577340.36997565"
"1994/01","14191488.6037905","487721.496009572","5234635.19959033","7684200.07905018"
"1994/02","14515919.6022008","524830.474358227","5334303.14614182","7833303.66224129"
"1994/03","14596908.2664026","472986.777176503","5337005.17589399","7909370.10821709"
"1994/04","14754183.8699903","494033.469286367","5324933.21654124","8062974.04902918"
"1995/01","14075632.8434452","479124.615182922","5048923.09401069","7762108.70275797"
"1995/02","13226189.8456345","492152.490616185","4585227.78054886","7422391.32154494"
"1995/03","13508992.0239704","522259.06185626","4671364.83207562","7550660.37136438"
"1995/04","13818201.5699093","511722.684863715","4851422.7474451","7635394.60934446"
"1996/01","14141777.8247614","523171.619078215","5133714.40309358","7747157.55064494"
"1996/02","14291765.5526953","513370.683482794","5211242.3143875","7792942.1374463"
"1996/03","14502145.7416926","517887.468113306","5293192.70290778","7883220.42793949"
"1996/04","14961759.469625","528453.863921659","5519103.70270009","8031333.77024649"
"1997/01","15014732.2648743","520189.496434729","5533138.01224752","8150204.38443051"
"1997/02","15367755.0525344","528187.115398765","5680261.27803255","8309632.71946598"
"1997/03","15689451.1885415","501959.484400943","5834359.05311328","8455516.01219768"
"1997/04","16131988.6474038","530398.507777414","5988328.34219192","8676328.28472134"
"1998/01","16378820.3303579","539932.587311154","6126097.611408","8799679.45225875"
"1998/02","16497610.4868725","531729.8483536","6162456.4635545","8867628.06929016"
"1998/03","16578682.6652332","554710.971242488","6164975.45330601","8922458.5939916"
"1998/04","16609307.7596133","523552.483548973","6200238.41254319","8927553.76673033"
"1999/01","16753013.8735157","591915.927916473","6229053.84117716","9007327.46196047"
"1999/02","16878056.0510787","518952.811924314","6258137.44734086","9128697.61553414"
"1999/03","17036068.1563074","541701.942778015","6275399.53855483","9239269.11312357"
"1999/04","17209149.8785051","523219.526108153","6329449.66346549","9353393.68381609"
"2000/01","17567201.0059286","572034.67049732","6529127.57437789","9535718.74731268"
"2000/02","17787111.8550389","546961.330938352","6619439.86806286","9632033.09380984"
"2000/03","17979969.9416833","520651.438243518","6663339.95759118","9736341.92891326"
"2000/04","17780456.1832455","554989.960716372","6479737.63018692","9749085.04196137"
"2001/01","17890631.0980282","556464.016242959","6558957.90790008","9710858.38205928"
"2001/02","17758958.0505547","579190.035353201","6424954.22710206","9684286.97218969"
"2001/03","17721108.7479264","580082.767299779","6416573.89642041","9666649.39534458"
"2001/04","17570549.115627","593616.309918185","6328430.12070966","9622758.39372816"
"2002/01","17460487.5065945","567429.685880958","6248152.16971727","9599162.81337346"
"2002/02","17644900.284564","569449.157743301","6283332.13976667","9728403.14700021"
"2002/03","17812395.9473309","578741.671470616","6354275.89142681","9802138.08391905"
"2002/04","17852087.7505552","570691.73770894","6418224.52046748","9778774.29678819"
"2003/01","17841737.0401674","582925.967510655","6361808.79185355","9831442.18171341"
"2003/02","17869823.8835486","595010.470477201","6394304.08072857","9787168.56954094"
"2003/03","17876660.650983","604480.206722071","6397075.88343228","9779634.70775598"
"2003/04","18039988.6497929","589309.092325757","6440666.83409247","9883643.8728207"
"2004/01","18281692.4967231","622761.500599185","6563213.00828691","10013061.346524"
"2004/02","18523289.1401574","603879.008313452","6641882.99952333","10149275.7971136"
"2004/03","18509539.9399471","586841.999926823","6637653.63910555","10153066.7701316"
"2004/04","18707442.4547768","612366.867248889","6678556.64694041","10275061.6141351"
"2005/01","18750406.1958629","582716.437527228","6724664.98470553","10259837.802297"
"2005/02","18748617.2722955","571780.381186409","6730847.7281582","10292392.3058466"
"2005/03","18943239.0058984","616080.28017779","6757608.87164156","10413671.3912237"
"2005/04","19294139.5671625","584737.837458903","6958485.47988107","10567477.4420868"
"2006/01","19671239.8461761","611415.196624271","7055606.31531227","10773378.5044839"
"2006/02","19843514.6769088","622533.321690663","7139168.19419654","10851643.14194"
"2006/03","19893115.9084336","614775.063556438","7180800.25810599","10867508.5068613"
"2006/04","19963519.8946912","639645.096664137","7163112.56482488","10912399.8038048"
"2007/01","20102013.4299313","648510.995537022","7196623.36911239","11022728.3244579"
"2007/02","20236402.8615417","649326.917663566","7232223.60430867","11130014.0125853"
"2007/03","20309599.9659181","650092.270079745","7215005.69366351","11211052.6500416"
"2007/04","20358399.2695551","652581.195321766","7216310.40476549","11270137.7849207"
"2008/01","20365894.8605721","650072.705711122","7228072.65393951","11229505.8087212"
"2008/02","20501676.4815759","657275.689937768","7192973.20359014","11378138.1868053"
"2008/03","20523474.2900211","640418.983423433","7128416.9248335","11472006.8624608"
"2008/04","20195189.691695","670688.188317002","7010469.3249998","11254186.4599454"
"2009/01","18946233.6475314","649065.917495823","6484918.20251925","10684446.2842253"
"2009/02","18639326.4482744","635076.968383439","6422537.97786275","10517998.8474765"
"2009/03","19310019.5024379","629596.793677852","6610923.6535658","10937996.9789699"
"2009/04","19727633.1658945","637057.503802854","6776823.25269379","11135250.5388086"
"2010/01","19806180.1364181","640709.57585122","6820378.40757126","11227043.9350705"
"2010/02","20040118.8542353","668766.987687207","6893520.2513809","11358518.4847129"
"2010/03","20217587.4024504","666962.452019171","6909976.03656333","11526563.0891462"
"2010/04","20382338.2780825","638141.05062031","6917827.15905434","11698894.632163"
"2011/01","20518096.907772","647843.985935673","6967666.71838291","11778415.6499033"
"2011/02","20605912.4433103","591318.778612931","7043807.11216081","11847634.3161203"
"2011/03","20973814.9105853","667899.125125022","7129201.75119168","12057290.0735441"
"2011/04","21125466.2016519","650023.91935613","7268396.41964766","12070864.6411242"
"2012/01","21332070.7220435","671710.564905265","7310685.5593349","12239199.8213572"
"2012/02","21474257.9008299","665528.180376644","7361151.55907059","12303843.3758996"
"2012/03","21513364.8247164","671647.242516164","7384439.17326571","12317414.9410873"
"2012/04","21681474.0977295","693129.2121771","7316362.76860094","12533755.1997423"
"2013/01","21704011.5974673","678028.172261722","7339317.81617","12538917.908482"
"2013/02","21615764.5890558","699607.294728732","7267902.11752595","12522785.8026051"
"2013/03","21747833.2463451","693958.18547803","7305541.04760992","12613697.553011"
"2013/04","21855519.6195072","709766.571567948","7357246.86880535","12660738.7561614"
"2014/01","21997330.1000941","706405.717651846","7429091.23755069","12702978.5947381"
"2014/02","22285379.9334089","720827.822851123","7568314.45619117","12832850.7417719"
"2014/03","22318003.8752624","732605.800697884","7518942.88654562","12918622.399533"
"2014/04","22507961.9553275","714704.776572954","7609804.77542631","13010854.740465"
"2015/01","22613742.4727823","739459.306957891","7570971.73204229","13104232.7928589"
"2015/02","22819607.9412763","721660.867480092","7626947.19017992","13251395.2835701"
"2015/03","23085184.1854364","723513.686013662","7770757.08280034","13360985.793446"
"2015/04","23017897.644071","741312.403947542","7712544.32880277","13317720.8566484"
"2016/01","23005029.3356867","728561.956307371","7681192.13718269","13388502.488878"
"2016/02","23090709.5695086","746034.811692125","7646423.17899631","13468737.449862"
"2016/03","23295904.7522448","773187.074487576","7655672.12777699","13623203.7428076"
"2016/04","23556636.0412573","765273.655988965","7730633.07806783","13787163.4817082"
"2017/01","23687798.9570797","766279.538691316","7794398.75939791","13850470.89968"
"2017/02","23723459.0307564","769067.606196693","7750803.54880194","13910590.9407176"
"2017/03","23578524.1016752","777360.695660966","7673749.49303647","13868240.8250522"
"2017/04","23908406.6138059","796592.30601704","7747107.26244232","14086820.4577158"
"2018/01","24211277.1150259","797320.892256554","7789087.9596389","14295593.1319318"
"2018/02","24129398.0486948","802391.911975092","7750450.5073203","14288441.3886207"
"2018/03","24229297.0434654","780789.44239184","7769372.25368667","14380862.17004"
"2018/04","24185470.7612112","804931.340678816","7698477.72652272","14372866.7585484"
"2019/01","24187142.2227247","811577.741681576","7672553.27320731","14374014.7957157"
"2019/02","24126383.7602638","800306.474223978","7689118.71179147","14325025.8715091"
"2019/03","24119749.7777714","794864.36510777","7635728.91458305","14387939.4514438"
"2019/04","23947038.7938778","791294.930963256","7471771.96815216","14385562.3645698"
"2020/01","23670533.0888069","803892.395403966","7412419.1739072","14211312.7273119"
"2020/02","19190466.5387855","791163.308479883","5806704.16012869","11677915.4743987"
"2020/03","22160089.8879203","839417.400707736","7096458.94822403","13109514.2419784"
"2020/04","23120405.8772807","801452.050977061","7407098.1424574","13722113.468464"
"2021/01","23288418.6015219","815938.049690198","7342113.23938652","13910454.8788022"
"2021/02","23514556.8802499","838641.750421866","7378280.10797265","14050382.1476657"
"2021/03","23294485.219755","823842.532532317","7361495.70591587","13859874.8943082"
"2021/04","23565159.4349047","824755.295109394","7460303.88591577","13970127.0812321"
"2022/01","23913667.3261019","828219.027128063","7653604.47027664","14121488.3142941"
"2022/02","24198509.7481399","835173.894365959","7719771.13791309","14302233.3766245"
"2022/03","24374153.8914866","824107.736111283","7754565.29944875","14462703.9313643"
"2022/04","24643253.7437957","862646.878404473","7812058.00991569","14601739.2801401"
"2023/01","24827749.8367123","842638.12298765","7884789.76165518","14697923.9597182"
"2023/02","25049874.4597568","837521.921214297","7977659.04640053","14836394.8599638"
"2023/03","25219466.8155068","822179.652244342","8054120.39770572","14959446.128515"
"2023/04","25237383.4346427","810120.866416506","8073552.39319817","14965722.0600133"
"2024/01","25253201.4643647","802672.062685162","7995508.20542075","15058434.6805854"
"2024/02","25344446.9348626","812589.94361742","8016898.43771225","15119124.6135285"
"2024/03","25617174.5348251","852633.586342265","8087374.58148441","15277952.6368877"
