,,Imef_nm,,,,,,,Inmate,,,,,,,Ped_nm,,,,,,,Prod_nm,,,,,,,Empl_nm,,,,,,,EP_nm,,,,,,,,,,,,,,,
,,Índice No Manufacturero Ponderado,,,,,,,Indice No Manufacturero Ajustado por Tamaño de Empresa,,,,,,,Nuevos Pedidos No manufactureros,,,,,,,Producción No Manufacturera,,,,,,,Empleo No Manufacturero,,,,,,,Entrega de Productos No Manufacturero,,,,,,,,,,,,,,,
PERIODO,,SERIE ORIGINAL,,DESESTACIONALIZADA,,,TENDENCIA-CICLO,,SERIE ORIGINAL,,DESESTACIONALIZADA,,,TENDENCIA-CICLO,,SERIE ORIGINAL,,DESESTACIONALIZADA,,,TENDENCIA-CICLO,,SERIE ORIGINAL,,DESESTACIONALIZADA,,,TENDENCIA-CICLO,,SERIE ORIGINAL,,DESESTACIONALIZADA,,,TENDENCIA-CICLO,,SERIE ORIGINAL,,,DESESTACIONALIZADA,,,TENDENCIA-CICLO,,,,,,,,,
,,INDICE,DIF. ANUAL,D11,DIF. MENSUAL,DIF. ANUAL,D12,DIF. MENSUAL,INDICE,DIF. ANUAL,D11,DIF. MENSUAL,DIF. ANUAL,D12,DIF. MENSUAL,INDICE,DIF. ANUAL,D11,DIF. MENSUAL,DIF. ANUAL,D12,DIF. MENSUAL,INDICE,DIF. ANUAL,D11,DIF. MENSUAL,DIF. ANUAL,D12,DIF. MENSUAL,INDICE,DIF. ANUAL,D11,DIF. MENSUAL,DIF. ANUAL,D12,DIF. MENSUAL,INDICE,DIF. MENSUAL,DIF. ANUAL,D11,DIF. MENSUAL,DIF. ANUAL,D12,DIF. MENSUAL,,,,,,,,
2005,E,53.7,,55.2107224369142000,,,55.7,,54.7,,56.5,,,55.1,,55.6,,57.7,,,58.3,,54.3,,56.6,,,58.3,,51.4,,52.9,,,53.4,,53.6,,,53.4,,,53.4,,,,,,,,,
,F,56.3,,56.6020343454776000,1.4,,55.6,-0.1,53.1,,55.1,-1.4,,54.8,-0.3,58.2,,59.4,1.7,,58.2,-0.1,58.6,,59.3,2.7,,58.4,0.1,54.2,,54.3,1.4,,53.3,-0.1,54.3,0.7,,54.3,0.9,,53.3,-0.1,,,,,,,,
,M,56.1,,56.2790835248605000,-0.3,,55.5,-0.1,54.5,,54.3,-0.8,,54.4,-0.4,59.7,,59.4,0.0,,58.1,-0.1,59.4,,59.7,0.4,,58.4,0.0,53.5,,53.2,-1.1,,53.1,-0.2,51.8,-2.5,,51.8,-2.5,,53.3,0.0,,,,,,,,
,A,55.2,,54.4801837798185000,-1.8,,55.4,-0.1,51.3,,51.4,-2.9,,54.3,-0.1,57.2,,55.9,-3.5,,58.1,0.0,59.3,,57.9,-1.8,,58.3,-0.1,52.6,,52.6,-0.6,,52.8,-0.3,51.9,0.1,,51.9,0.1,,53.4,0.1,,,,,,,,
,M,54.1,,54.3300670659868000,-0.2,,55.4,0.0,54.4,,54.0,2.6,,54.4,0.1,56.8,,57.1,1.2,,58.0,-0.1,54.1,,54.3,-3.6,,58.1,-0.2,51.8,,52.0,-0.6,,52.6,-0.2,53.6,1.7,,53.6,1.7,,53.4,0.0,,,,,,,,
,J,55.9,,55.8885660480758000,1.6,,55.4,0.0,54.4,,54.7,0.7,,54.6,0.2,59.1,,59.1,2.0,,57.9,-0.1,55.9,,56.9,2.6,,57.8,-0.3,52.6,,52.4,0.4,,52.6,0.0,55.9,2.3,,55.9,2.3,,53.4,0.0,,,,,,,,
,J,56.4,,56.4359519774015000,0.5,,55.4,0.0,57.0,,56.5,1.8,,54.8,0.2,58.9,,59.0,-0.1,,57.7,-0.2,59.0,,59.0,2.1,,57.4,-0.4,53.9,,53.9,1.5,,52.7,0.1,53.9,-2.0,,53.9,-2.0,,53.5,0.1,,,,,,,,
,A,55.0,,55.3237918614459000,-1.1,,55.4,0.0,55.3,,54.8,-1.7,,55.0,0.2,57.3,,57.8,-1.2,,57.6,-0.1,56.8,,56.7,-2.3,,57.1,-0.3,51.5,,51.6,-2.3,,53.0,0.3,54.6,0.7,,54.6,0.7,,53.5,0.0,,,,,,,,
,S,54.4,,54.8292170122885000,-0.5,,55.5,0.1,53.4,,55.1,0.3,,55.1,0.1,54.7,,56.2,-1.6,,57.7,0.1,55.3,,56.5,-0.2,,57.0,-0.1,53.6,,53.2,1.6,,53.4,0.4,53.7,-0.9,,53.7,-0.9,,53.5,0.0,,,,,,,,
,O,56.2,,55.3657598243588000,0.6,,55.5,0.0,54.9,,53.7,-1.4,,55.2,0.1,58.6,,56.8,0.6,,57.8,0.1,58.4,,56.8,0.3,,57.2,0.2,54.9,,54.4,1.2,,53.6,0.2,53.0,-0.7,,53.0,-0.7,,53.5,0.0,,,,,,,,
,N,55.9,,55.2607028654065000,-0.1,,55.6,0.1,56.7,,55.1,1.4,,55.2,0.0,59.1,,58.1,1.3,,58.0,0.2,58.2,,56.9,0.1,,57.4,0.2,53.7,,53.5,-0.9,,53.5,-0.1,52.5,-0.5,,52.5,-0.5,,53.5,0.0,,,,,,,,
,D,56.9,,55.9059280568560000,0.6,,55.6,0.0,59.1,,57.0,1.9,,55.3,0.1,61.2,,59.4,1.3,,58.3,0.3,59.7,,58.0,1.1,,57.7,0.3,53.9,,53.7,0.2,,53.3,-0.2,52.9,0.4,,52.9,0.4,,53.4,-0.1,,,,,,,,
2006,E,55.2,1.5,56.9500672490170000,1.1,1.8,55.7,0.1,53.1,-1.6,55.5,-1.5,-1.0,55.3,0.0,57.6,2.0,60.1,0.7,2.4,58.5,0.2,57.3,3.0,60.0,2.0,3.4,58.1,0.4,51.8,0.4,53.4,-0.3,0.5,53.0,-0.3,54.2,1.3,0.6,54.2,1.3,0.8,53.3,-0.1,,,,,,,,
,F,54.5,-1.8,54.8272850085767000,-2.2,-1.8,55.7,0.0,50.4,-2.7,52.3,-3.2,-2.8,55.3,0.0,55.7,-2.5,56.9,-3.2,-2.5,58.4,-0.1,56.5,-2.1,57.2,-2.8,-2.1,58.2,0.1,51.4,-2.8,51.6,-1.8,-2.7,52.7,-0.3,54.3,0.1,0.0,54.3,0.1,0.0,53.3,0.0,,,,,,,,
,M,55.4,-0.7,54.8582585572775000,0.1,-1.4,55.5,-0.2,54.3,-0.2,54.0,1.7,-0.3,55.2,-0.1,58.2,-1.5,56.7,-0.2,-2.7,58.0,-0.4,58.6,-0.8,57.4,0.2,-2.3,58.0,-0.2,52.3,-1.2,51.9,0.3,-1.3,52.6,-0.1,52.6,-1.7,0.8,52.7,-1.6,0.9,53.2,-0.1,,,,,,,,
,A,56.0,0.8,55.9168565037798000,1.0,1.4,55.2,-0.3,57.4,6.1,57.4,3.4,6.0,54.9,-0.3,59.3,2.1,59.2,2.5,3.3,57.4,-0.6,58.4,-0.9,58.7,1.3,0.8,57.6,-0.4,53.1,0.5,53.1,1.2,0.5,52.7,0.1,53.1,0.5,1.2,53.1,0.4,1.2,53.1,-0.1,,,,,,,,
,M,54.8,0.7,54.9836764366843000,-0.9,0.7,55.0,-0.2,54.9,0.5,54.7,-2.7,0.7,54.7,-0.2,56.8,0.0,57.0,-2.2,-0.1,56.9,-0.5,56.9,2.8,57.0,-1.7,2.7,57.1,-0.5,53.1,1.3,53.2,0.1,1.2,53.0,0.3,52.6,-0.5,-1.0,52.6,-0.5,-1.0,53.0,-0.1,,,,,,,,
,J,54.7,-1.2,54.8518602233623000,-0.1,-1.0,54.8,-0.2,54.7,0.3,55.2,0.5,0.5,54.6,-0.1,56.3,-2.8,56.4,-0.6,-2.7,56.5,-0.4,56.0,0.1,57.0,0.0,0.1,56.7,-0.4,53.4,0.8,53.2,0.0,0.8,53.2,0.2,53.3,0.7,-2.6,53.3,0.7,-2.6,53.0,0.0,,,,,,,,
,J,54.0,-2.4,54.0729932019233000,-0.8,-2.3,54.6,-0.2,53.7,-3.3,53.2,-2.0,-3.3,54.6,0.0,54.9,-4.0,55.1,-1.3,-3.9,56.2,-0.3,54.8,-4.2,54.8,-2.2,-4.2,56.3,-0.4,53.3,-0.6,53.3,0.1,-0.6,53.4,0.2,53.1,-0.2,-0.8,53.1,-0.2,-0.8,53.0,0.0,,,,,,,,
,A,54.2,-0.8,54.3333869011472000,0.2,-1.0,54.5,-0.1,55.0,-0.3,54.2,1.0,-0.6,54.5,-0.1,55.5,-1.8,55.7,0.6,-2.1,55.9,-0.3,56.7,-0.1,56.4,1.6,-0.3,56.0,-0.3,53.5,2.0,53.6,0.3,2.0,53.3,-0.1,51.1,-2.0,-3.5,51.1,-2.0,-3.5,53.0,0.0,,,,,,,,
,S,54.3,-0.1,54.7363459470100000,0.4,-0.1,54.3,-0.2,53.1,-0.3,54.7,0.5,-0.4,54.3,-0.2,54.9,0.2,56.3,0.6,0.1,55.6,-0.3,55.0,-0.3,56.1,-0.3,-0.4,55.7,-0.3,53.8,0.2,53.3,-0.3,0.1,53.0,-0.3,53.5,2.4,-0.2,53.5,2.4,-0.2,53.0,0.0,,,,,,,,
,O,55.5,-0.7,54.7584846639328000,0.1,-0.6,54.1,-0.2,56.6,1.7,55.6,0.9,1.9,53.9,-0.4,58.4,-0.2,56.7,0.4,-0.1,55.4,-0.2,57.9,-0.5,56.5,0.4,-0.3,55.5,-0.2,53.0,-1.9,52.5,-0.8,-1.9,52.7,-0.3,52.7,-0.8,-0.3,52.7,-0.8,-0.3,53.1,0.1,,,,,,,,
,N,53.9,-2.0,53.3374771892507000,-1.5,-2.0,54.0,-0.1,55.0,-1.7,53.6,-2.0,-1.5,53.4,-0.5,55.1,-4.0,54.2,-2.5,-3.9,55.4,0.0,55.3,-2.9,54.0,-2.5,-2.9,55.4,-0.1,52.3,-1.4,52.1,-0.4,-1.4,52.4,-0.3,53.0,0.3,0.5,53.0,0.3,0.5,53.1,0.0,,,,,,,,
,D,54.5,-2.4,53.6920357743773000,0.4,-2.2,53.9,-0.1,52.7,-6.4,51.1,-2.5,-5.9,52.8,-0.6,56.1,-5.1,54.6,0.4,-4.8,55.3,-0.1,56.7,-3.0,55.1,1.1,-2.9,55.4,0.0,51.9,-2.0,51.9,-0.2,-1.8,52.1,-0.3,53.6,0.6,0.7,53.7,0.7,0.8,53.2,0.1,,,,,,,,
2007,E,51.5,-3.7,53.1944179147611000,-0.5,-3.8,53.8,-0.1,49.8,-3.3,52.5,1.4,-3.0,52.2,-0.6,52.5,-5.1,55.0,0.4,-5.1,55.2,-0.1,52.7,-4.6,55.3,0.2,-4.7,55.3,-0.1,48.3,-3.5,49.9,-2.0,-3.5,51.9,-0.2,52.5,-1.1,-1.7,52.5,-1.2,-1.7,53.2,0.0,,,,,,,,
,F,54.0,-0.5,54.4637510384138000,1.3,-0.3,53.7,-0.1,50.1,-0.3,51.8,-0.7,-0.5,51.9,-0.3,54.6,-1.1,55.8,0.8,-1.1,55.0,-0.2,55.4,-1.1,56.1,0.8,-1.1,55.1,-0.2,51.9,0.5,52.1,2.2,0.5,51.8,-0.1,54.2,1.7,-0.1,54.2,1.7,-0.1,53.1,-0.1,,,,,,,,
,M,54.7,-0.7,54.1544682872257000,-0.3,-0.7,53.6,-0.1,52.5,-1.8,52.0,0.2,-2.0,51.9,0.0,57.0,-1.2,55.8,0.0,-0.9,54.8,-0.2,56.3,-2.3,55.2,-0.9,-2.2,54.9,-0.2,52.4,0.1,51.9,-0.2,0.0,51.7,-0.1,53.1,-1.1,0.5,53.1,-1.1,0.4,53.1,0.0,,,,,,,,
,A,53.1,-2.9,52.9832728874660000,-1.2,-2.9,53.3,-0.3,51.4,-6.0,51.4,-0.6,-6.0,52.0,0.1,54.0,-5.3,53.8,-2.0,-5.4,54.4,-0.4,53.5,-4.9,53.8,-1.4,-4.9,54.5,-0.4,51.6,-1.5,51.5,-0.4,-1.6,51.5,-0.2,53.4,0.3,0.3,53.4,0.3,0.3,53.1,0.0,,,,,,,,
,M,53.1,-1.7,53.0400735947174000,0.0,-2.0,53.0,-0.3,53.5,-1.4,53.5,2.1,-1.2,52.0,0.0,53.8,-3.0,53.8,0.0,-3.2,54.0,-0.4,54.0,-2.9,54.1,0.3,-2.9,54.0,-0.5,51.2,-1.9,51.2,-0.3,-2.0,51.2,-0.3,53.4,0.0,0.8,53.4,0.0,0.8,53.0,-0.1,,,,,,,,
,J,52.2,-2.5,52.5336333301418000,-0.5,-2.4,52.7,-0.3,51.3,-3.4,51.8,-1.7,-3.4,52.0,0.0,52.6,-3.7,52.9,-0.9,-3.5,53.7,-0.3,52.5,-3.5,53.4,-0.7,-3.6,53.6,-0.4,51.5,-1.9,51.3,0.1,-1.9,51.0,-0.2,52.2,-1.2,-1.1,52.5,-0.9,-0.8,53.0,0.0,,,,,,,,
,J,52.7,-1.3,52.9021612888982000,0.4,-1.2,52.7,0.0,52.0,-1.7,51.5,-0.3,-1.7,52.0,0.0,54.3,-0.6,54.6,1.7,-0.5,53.7,0.0,54.2,-0.6,54.3,0.9,-0.5,53.6,0.0,50.4,-2.9,50.4,-0.9,-2.9,51.0,0.0,52.0,-0.2,-1.1,52.0,-0.5,-1.1,53.0,0.0,,,,,,,,
,A,52.1,-2.1,51.9839530317064000,-0.9,-2.3,53.0,0.3,52.5,-2.5,51.6,0.1,-2.6,52.1,0.1,53.0,-2.5,52.6,-2.0,-3.1,54.1,0.4,52.8,-3.9,52.4,-1.9,-4.0,53.9,0.3,51.4,-2.1,51.4,1.0,-2.2,51.2,0.2,51.1,-0.9,0.0,51.1,-0.9,0.0,53.0,0.0,,,,,,,,
,S,52.8,-1.5,53.1280235458507000,1.1,-1.6,53.4,0.4,50.7,-2.4,52.2,0.6,-2.5,52.3,0.2,53.6,-1.3,54.9,2.3,-1.4,54.6,0.5,52.9,-2.1,53.8,1.4,-2.3,54.4,0.5,51.3,-2.5,50.7,-0.7,-2.6,51.6,0.4,53.3,2.2,-0.2,53.3,2.2,-0.2,53.0,0.0,,,,,,,,
,O,54.9,-0.6,54.3563222898089000,1.3,-0.4,53.8,0.4,54.1,-2.5,53.2,1.0,-2.4,52.5,0.2,56.6,-1.8,55.1,0.2,-1.6,54.8,0.2,56.5,-1.4,55.3,1.5,-1.2,54.8,0.4,52.6,-0.4,52.4,1.7,-0.1,52.1,0.5,54.1,0.8,1.4,54.1,0.8,1.4,53.0,0.0,,,,,,,,
,N,55.4,1.5,54.7670477657886000,0.4,1.5,53.8,0.0,54.5,-0.5,53.1,-0.1,-0.5,52.7,0.2,56.8,1.7,55.9,0.8,1.7,54.6,-0.2,58.2,2.9,56.9,1.6,2.9,54.9,0.1,53.1,0.8,53.1,0.7,1.0,52.5,0.4,53.4,-0.7,0.4,53.4,-0.7,0.4,53.0,0.0,,,,,,,,
,D,54.6,0.1,53.7499877268215000,-1.1,0.0,53.5,-0.3,55.1,2.4,52.7,-0.4,1.6,52.9,0.2,55.8,-0.3,54.4,-1.5,-0.2,54.0,-0.6,56.6,-0.1,55.1,-1.8,0.0,54.5,-0.4,52.9,1.0,53.0,-0.1,1.1,52.6,0.1,53.1,-0.3,-0.5,53.1,-0.3,-0.6,53.0,0.0,,,,,,,,
2008,E,51.3,-0.2,52.9997750446548000,-0.7,-0.2,53.0,-0.5,49.1,-0.7,52.0,-0.7,-0.5,53.0,0.1,50.1,-2.4,52.6,-1.8,-2.4,53.3,-0.7,50.9,-1.8,53.4,-1.7,-1.9,53.8,-0.7,51.1,2.8,52.5,-0.5,2.6,52.4,-0.2,53.3,0.2,0.8,53.3,0.2,0.8,53.0,0.0,,,,,,,,
,F,51.2,-2.8,51.6386381868140000,-1.4,-2.9,52.5,-0.5,51.4,1.3,52.9,0.9,1.1,53.0,0.0,50.5,-4.1,51.6,-1.0,-4.2,52.6,-0.7,51.2,-4.2,51.9,-1.5,-4.2,53.1,-0.7,51.4,-0.5,51.5,-1.0,-0.6,52.1,-0.3,51.8,-1.5,-2.4,51.8,-1.5,-2.4,53.0,0.0,,,,,,,,
,M,50.7,-4.0,50.8336411076738000,-0.8,-3.4,51.9,-0.6,54.3,1.8,53.5,0.6,1.5,52.9,-0.1,50.7,-6.3,50.6,-1.0,-5.2,52.1,-0.5,50.9,-5.4,51.6,-0.3,-3.6,52.4,-0.7,50.2,-2.2,49.5,-2.0,-2.4,51.5,-0.6,50.7,-1.1,-2.4,50.7,-1.1,-2.4,52.9,-0.1,,,,,,,,
,A,53.1,0.0,52.2926294029445000,1.5,-0.7,51.5,-0.4,53.4,2.0,53.4,-0.1,2.0,52.7,-0.2,54.4,0.4,53.3,2.7,-0.5,51.8,-0.3,53.6,0.1,52.3,0.7,-1.5,52.1,-0.3,50.9,-0.7,50.9,1.4,-0.6,50.9,-0.6,53.6,2.9,0.2,53.6,2.9,0.2,52.9,0.0,,,,,,,,
,M,52.0,-1.1,51.8262946342870000,-0.5,-1.2,51.1,-0.4,51.6,-1.9,51.9,-1.5,-1.6,52.2,-0.5,52.2,-1.6,52.3,-1.0,-1.5,51.4,-0.4,52.3,-1.7,52.5,0.2,-1.6,51.8,-0.3,50.8,-0.4,50.7,-0.2,-0.5,50.4,-0.5,52.7,-0.9,-0.7,52.7,-0.9,-0.7,52.9,0.0,,,,,,,,
,J,50.2,-2.0,50.6433702291240000,-1.2,-1.9,50.6,-0.5,50.6,-0.7,51.1,-0.8,-0.7,51.4,-0.8,50.4,-2.2,51.0,-1.3,-1.9,50.8,-0.6,51.4,-1.1,52.3,-0.2,-1.1,51.4,-0.4,51.7,0.2,51.5,0.8,0.2,49.7,-0.7,47.4,-5.3,-4.8,47.4,-5.3,-5.1,48.3,-4.6,,,,,,,,
,J,48.7,-4.0,48.9536142269196000,-1.6,-3.9,49.7,-0.9,51.1,-0.9,50.6,-0.5,-0.9,50.5,-0.9,47.9,-6.4,48.2,-2.8,-6.4,49.7,-1.1,49.4,-4.8,49.4,-2.9,-4.9,50.5,-0.9,48.7,-1.7,48.7,-2.8,-1.7,49.0,-0.7,49.0,1.6,-3.0,49.0,1.6,-3.0,48.3,0.0,,,,,,,,
,A,49.6,-2.5,49.3416656935961000,0.3,-2.7,48.5,-1.2,51.3,-1.2,50.4,-0.2,-1.2,49.5,-1.0,50.9,-2.1,49.8,1.6,-2.8,48.2,-1.5,50.9,-1.9,50.4,1.0,-2.0,49.1,-1.4,48.1,-3.3,48.2,-0.5,-3.2,48.1,-0.9,48.2,-0.8,-2.9,48.2,-0.8,-2.9,48.2,-0.1,,,,,,,,
,S,47.3,-5.5,47.6293539489803000,-1.7,-5.5,47.2,-1.3,46.3,-4.4,47.8,-2.6,-4.4,48.7,-0.8,45.4,-8.2,46.8,-3.0,-8.1,46.4,-1.8,46.6,-6.3,47.4,-3.0,-6.4,47.4,-1.7,48.4,-2.9,47.8,-0.4,-2.9,47.1,-1.0,48.6,0.4,-4.7,48.6,0.4,-4.7,48.2,0.0,,,,,,,,
,O,45.5,-9.4,45.0538598077597000,-2.5,-9.3,46.0,-1.2,48.4,-5.7,47.7,-0.1,-5.5,48.1,-0.6,41.5,-15.1,40.2,-6.6,-14.9,44.7,-1.7,46.1,-10.4,45.2,-2.2,-10.1,45.8,-1.6,45.6,-7.0,45.8,-2.0,-6.6,46.1,-1.0,48.7,0.1,-5.4,48.7,0.1,-5.4,48.1,-0.1,,,,,,,,
,N,45.7,-9.7,44.9515267026999000,-0.1,-9.8,45.1,-0.9,49.1,-5.4,47.7,0.0,-5.4,47.7,-0.4,43.9,-12.9,42.8,2.6,-13.1,43.5,-1.2,46.1,-12.1,44.6,-0.6,-12.3,44.6,-1.2,45.3,-7.8,45.3,-0.5,-7.8,45.4,-0.7,47.4,-1.3,-6.0,47.4,-1.3,-6.0,47.9,-0.2,,,,,,,,
,D,45.4,-9.2,44.6220926454934000,-0.4,-9.1,44.6,-0.5,51.2,-3.9,48.4,0.7,-4.3,47.5,-0.2,43.8,-12.0,42.7,-0.1,-11.7,42.8,-0.7,44.8,-11.8,43.4,-1.2,-11.7,43.8,-0.8,44.3,-8.6,44.5,-0.8,-8.5,44.9,-0.5,48.7,1.3,-4.4,48.7,1.3,-4.4,47.8,-0.1,,,,,,,,
2009,E,42.4,-8.9,43.8717080153135000,-0.7,-9.1,44.5,-0.1,43.1,-6.0,46.3,-2.1,-5.7,47.4,-0.1,38.9,-11.2,41.3,-1.4,-11.3,42.7,-0.1,40.6,-10.3,42.9,-0.5,-10.5,43.5,-0.3,43.0,-8.1,44.3,-0.2,-8.2,44.7,-0.2,46.9,-1.8,-6.4,46.9,-1.8,-6.4,47.7,-0.1,,,,,,,,
,F,44.3,-6.9,44.7373749085198000,0.8,-6.9,44.7,0.2,46.6,-4.8,48.2,1.9,-4.7,47.1,-0.3,42.7,-7.8,43.8,2.5,-7.8,43.2,0.5,43.3,-7.9,44.1,1.2,-7.8,43.7,0.2,44.9,-6.5,45.0,0.7,-6.5,44.7,0.0,46.1,-0.8,-5.7,46.1,-0.8,-5.7,47.6,-0.1,,,,,,,,
,M,46.7,-4.0,46.1464390722166000,1.4,-4.7,45.3,0.6,48.5,-5.8,47.5,-0.7,-6.0,46.9,-0.2,46.8,-3.9,45.8,2.0,-4.8,44.1,0.9,45.9,-5.0,45.0,0.9,-6.6,44.2,0.5,46.4,-3.8,45.6,0.6,-3.9,44.9,0.2,47.7,1.6,-3.0,47.7,1.6,-3.0,47.6,0.0,,,,,,,,
,A,45.8,-7.3,45.7666162001133000,-0.3,-6.5,46.0,0.7,46.7,-6.7,46.7,-0.8,-6.7,47.0,0.1,44.3,-10.1,44.3,-1.5,-9.0,45.4,1.3,44.5,-9.1,44.9,-0.1,-7.4,45.2,1.0,47.3,-3.6,47.3,1.7,-3.6,45.3,0.4,47.2,-0.5,-6.4,47.2,-0.5,-6.4,47.7,0.1,,,,,,,,
,M,44.7,-7.3,44.4210900590807000,-1.4,-7.4,46.9,0.9,45.8,-5.8,46.3,-0.4,-5.6,47.6,0.6,43.1,-9.1,42.9,-1.4,-9.4,46.8,1.4,43.1,-9.2,43.2,-1.7,-9.3,46.6,1.4,45.2,-5.6,44.9,-2.4,-5.8,45.8,0.5,47.6,0.4,-5.1,47.6,0.4,-5.1,47.8,0.1,,,,,,,,
