Key_words,Active,IGAE
AH1N1,1,-1
AMLO,1,0
Ayotzinapa,1,-1
Calderon,1,0
Cartel,1,-1
Casa Blanca,1,0
Chapo,1,-1
China,1,0
Coronavirus,1,-1
Corrupcion,1,-1
Crisis economica,1,-1
Crisis sanitaria,1,-1
Cuarentena,1,-1
Cubrebocas,1,-1
Desempleo,1,-1
Dolar,1,0
Elecciones,1,0
EPN,1,0
Gasolina,1,0
Homicidios,1,-1
Huachicol,1,-1
Inflacion,1,-1
Inseguridad,1,-1
Mascarilla N95,1,-1
Medidas economicas,1,0
Migracion,1,0
Migrantes,1,0
Morena,1,0
Muertos,1,-1
Muro,1,-1
Omicron,1,-1
Outsourcing,1,0
Pacto,1,0
PAN,1,0
Pandemia,1,-1
PEMEX,1,0
Peso,1,0
Petroleo,1,0
PRI,1,0
Rebrote,1,-1
Recesion,1,-1
Reformas,1,0
Salario,1,0
Sismo,1,-1
Tipo de cambio,1,0
Trump,1,-1
Vacuna,1,0
Violencia,1,-1
