date,AH1N1,AMLO,Ayotzinapa,Calderon,Cartel,White House,Chapo,China,Coronavirus,Corruption,Economic crisis,Health crisis,Quarantine,Face mask,Unemployment,Dollar,Elections,EPN,Gas,Homicides,Huachicol,Inflation,Insecurity,N95 Mask,Economic measures,Migration,Migrants,Morena,Dead,Wall,Omicron,Outsourcing,Pact,PAN,Pandemic,PEMEX,Peso,Oil,PRI,Resurgence,Recession,Reforms,Salary,Earthquake,Exchange rate,Trump,Vaccine,Violence
2004/01,0,0,0,9,37,16,1,54,0,29,21,0,0,0,61,5,2,0,4,83,0,79,22,0,0,78,16,5,4,12,0,52,30,41,0,30,17,61,53,0,0,100,46,2,28,0,2,44
2004/02,0,0,0,10,42,15,0,58,0,35,37,0,0,2,76,4,1,0,5,0,0,81,30,0,0,65,10,4,5,15,0,63,36,42,0,33,16,75,52,0,0,64,39,1,23,0,2,51
2004/03,0,2,0,10,44,28,0,57,0,100,41,0,0,0,92,3,2,0,5,96,0,100,22,0,0,89,13,5,6,16,0,54,47,44,0,34,18,100,63,0,0,61,39,1,23,0,2,60
2004/04,0,0,0,10,42,14,0,59,0,69,24,0,0,0,73,4,1,0,5,0,0,71,37,0,0,83,21,6,7,13,0,21,46,56,0,37,16,65,49,0,0,62,33,1,25,0,2,64
2004/05,0,1,0,12,35,14,1,56,0,93,51,0,0,0,98,5,3,0,4,92,0,92,36,0,0,88,13,3,5,18,0,47,44,48,0,34,17,67,63,0,0,68,33,1,32,0,4,76
2004/06,0,1,0,11,29,11,0,45,0,65,36,0,0,0,73,4,2,0,5,70,0,64,57,0,0,69,12,7,5,16,0,65,39,40,0,34,16,49,64,0,0,49,28,1,26,0,3,66
2004/07,0,1,0,11,26,10,0,37,0,22,0,0,0,0,36,4,4,0,4,0,0,41,62,0,0,55,15,6,4,11,0,24,21,33,0,27,14,11,60,0,0,31,28,0,29,1,2,24
2004/08,0,3,0,9,35,10,0,51,0,31,13,0,0,0,53,4,6,0,4,0,0,78,38,0,0,42,9,6,5,11,0,41,38,32,0,34,16,32,47,0,0,68,33,1,27,1,2,27
2004/09,0,2,0,9,40,10,0,71,0,48,27,0,0,0,58,3,7,0,5,0,0,77,52,0,0,63,15,5,8,14,0,43,43,36,0,28,15,54,47,0,0,66,33,2,27,1,2,41
2004/10,0,2,0,11,45,13,1,73,0,46,24,0,0,0,76,4,4,0,4,68,0,75,39,0,0,64,12,3,100,15,0,47,44,45,0,31,15,44,53,0,0,70,35,1,24,2,2,50
2004/11,0,2,0,11,46,14,1,63,0,70,29,0,0,0,90,4,16,0,5,100,0,87,77,0,0,87,16,5,28,20,0,56,47,48,0,35,16,52,74,0,16,77,31,1,26,3,2,77
2004/12,0,1,0,10,37,15,1,45,0,37,23,0,0,0,50,4,2,0,5,0,0,65,32,0,0,55,12,7,6,11,0,14,23,35,0,30,12,32,50,0,0,54,29,1,24,1,2,43
2005/01,0,2,0,13,36,12,2,51,0,27,16,0,0,0,39,4,2,0,5,79,0,73,31,0,0,49,11,7,6,11,0,41,33,35,2,35,16,53,55,0,0,62,44,1,25,1,2,45
