Periodo,IGAE,IOAE,Inferior,Superior
2020/08,-8.5,-7.9,-9.6,-6.2
2020/09,-7,-7,-8.5,-5.5
2020/10,-4.9,-5.4,-6.7,-4.3
2020/11,-3.5,-4.3,-5.2,-3.1
2020/12,-3.7,-4.2,-5.3,-3.2
2021/01,-4.2,-4,-5.5,-2.6
2021/02,-4,-3.9,-5.3,-2.5
2021/03,0.4,0.9,-0.6,2.4
2021/04,21.4,21.6,20.3,23
2021/05,25.3,24.5,23.2,25.9
2021/06,13.4,15.3,14,16.5
2021/07,7.7,8.7,7.4,10
2021/08,3.8,6.2,5,7.4
2021/09,1.3,2.8,1.6,4
2021/10,0.3,1.2,0.1,2.3
2021/11,0.3,0.2,-0.9,1.3
2021/12,1.1,0.7,-0.4,1.8
2022/01,1.8,1.6,0.5,2.8
2022/02,2.7,2.8,1.7,3.9
2022/03,-0.3,0.5,-0.6,1.6
2022/04,2,1.3,0.1,2.4
2022/05,1.3,1.5,0.3,2.8
2022/06,1.8,2.1,0.9,3.3
2022/07,2.2,1.8,0.7,3
2022/08,4.7,3.2,2,4.4
2022/09,5.1,4.8,3.6,6.1
2022/10,4.8,4.9,3.7,6.1
2022/11,3.5,4.1,2.8,5.4
2022/12,3.1,2.6,1.5,3.7
2023/01,3.6,3.3,2,4.6
2023/02,3.9,4.2,3,5.4
2023/03,2.7,3.2,2.2,4.3
2023/04,3.3,2.4,1.2,3.6
2023/05,3.2,3.6,2.4,4.8
2023/06,4,3.9,2.8,4.9
2023/07,3.5,3.6,2.5,4.6
2023/08,3.5,3.4,2.3,4.5
2023/09,3.7,3,2.1,4
2023/10,3.5,3.8,2.7,4.9
2023/11,2.7,4.2,2.9,5.4
2023/12,2.1,2,1.1,2.9
2024/01,1.1,2.2,1.1,3.3
2024/02,2.6,2.1,0.9,3.2
2024/03,3.3,2.4,1.4,3.3
2024/04,0.9,2.1,1,3.2
2024/05,1.6,1.2,0.1,2.3
2024/06,1.1,1.3,0.4,2.3
2024/07,2,1.1,0,2.2
2024/08,1,1.2,0.1,2.3
2024/09,0.8,0.3,-0.6,1.3
2024/10,-0.3,0.3,-0.8,1.3
2024/11,0.9,0.6,-0.5,1.7
2024/12,-0.6,0.8,-0.2,1.7
