Periodo,IGAE,IOAE,Inferior,Superior
2020/08,103,103.8,101.9,105.8
2020/09,104.8,104.8,103.1,106.4
2020/10,106.8,106.3,104.7,107.4
2020/11,107.7,107.1,106.1,108.5
2020/12,107.5,106.9,105.7,108.1
2021/01,107.5,107.6,106,109.1
2021/02,106.7,106.7,105.1,108.3
2021/03,109.9,110.9,109.3,112.6
2021/04,109.9,110.3,109.1,111.5
2021/05,111,110.6,111.8,109.3
2021/06,109.7,111.3,110.1,112.6
2021/07,110,110.8,109.5,112.1
2021/08,107.7,110,108.8,111.2
2021/09,107.5,108,106.8,109.3
2021/10,107.4,108.4,107.2,109.6
2021/11,107.9,108,106.8,109.1
2021/12,109.2,109,107.8,110.2
2022/01,109.8,109.7,108.5,110.9
2022/02,109.8,110,108.9,111.2
2022/03,110.2,111,109.8,112.2
2022/04,111.6,111.1,109.8,112.3
2022/05,111.4,111.7,110.3,113
2022/06,111,111.2,109.9,112.5
2022/07,111.6,111.5,110.2,112.8
2022/08,113,111.7,110.4,113
2022/09,113.1,113.2,111.8,114.5
2022/10,113.2,113.3,112,114.6
2022/11,112.5,113.1,111.6,114.5
2022/12,113.1,112.6,111.5,113.8
2023/01,113.8,113.6,112.2,115
2023/02,114.1,114.6,113.3,115.9
2023/03,113.6,114,112.8,115.2
2023/04,115,114.2,112.9,115.5
2023/05,115,115.4,114.1,116.8
2023/07,103.6,103.7,102.6,104.8
2023/08,104,103.9,102.8,105
2023/09,104.7,104.2,103.2,105.1
2023/10,104.6,104.8,103.7,105.9
2023/11,103.9,104.2,103.1,105.3
2023/12,103.9,103.7,102.8,104.6
2024/01,103,103.9,102.8,105
2024/02,104.3,103.8,102.7,105
2024/03,105.2,104.1,103.1,105.1
2024/04,103.9,104.9,103.8,106
2024/05,104.8,104.5,103.4,105.6
2024/06,104.7,104.9,103.9,105.9
2024/07,105.6,104.8,103.7,105.9
2024/08,105.2,105.2,104.1,106.4
2024/09,105.8,105,104,106
2024/10,104.7,105.2,104.1,106.3
2024/11,105.2,104.9,103.8,106.1
2024/12,103.8,104.9,103.9,105.9
