Periodo,IGAE,IOAE,Inferior,Superior
2021/06,-0.9,0.3,-0.9,1.4
2021/07,0.5,0.5,-0.6,1.7
2021/08,-1.6,-0.2,-1.5,1
2021/09,-0.4,0.1,-1.1,1.2
2021/10,-0.2,0.6,-0.6,1.8
2021/11,0.3,0.5,-1.2,2.3
2021/12,0.8,0,-1.7,1.7
2022/01,0.4,-0.1,-1.9,1.6
2022/02,0,0.3,-1.4,2
2022/03,0.3,0.8,-1,2.7
2022/04,1.1,0.4,-1.4,2.3
2022/05,-0.2,0.1,-1.8,2
2022/06,-0.3,-0.4,-2.3,1.5
2022/07,0.4,-0.1,-2,1.8
2022/08,1,0,-2,1.9
2022/09,0.7,0,-1.3,1.2
2022/10,0,0.1,-1.2,1.4
2022/11,-0.5,-0.1,-1.3,1.1
2022/12,0.3,-0.4,-1.6,0.9
2023/01,0.6,0.4,-0.5,1.3
2023/02,0.1,0.3,-0.8,1.4
2023/03,-0.3,0.1,-1,1.2
2023/04,0.8,0.4,-0.5,1.3
2023/05,0,0.1,-1,1.2
2023/06,0.5,0.2,-1,1.3
2023/07,0.2,0.2,-0.7,1.1
2023/08,0.4,0.2,-0.9,1.3
2023/09,0.6,0.2,-0.9,1.3
2023/10,-0.1,-0.1,-0.9,0.7
2023/11,-0.5,0.4,-0.8,1.6
2023/12,0,0.1,-1.2,1.3
2024/01,-0.6,0.2,-0.7,1
2024/02,1.4,0.3,-0.9,1.4
2024/03,0.3,0.2,-0.9,1.3
2024/04,-0.6,0.1,-0.8,0.9
2024/05,0.7,0.3,-0.9,1.5
2024/06,0,0,-1.2,1.2
2024/07,0.6,-0.1,-1,0.8
2024/08,-0.3,0.3,-0.9,1.6
2024/09,0.2,-0.1,-1.3,1.1
2024/10,-0.7,-0.1,-1,0.8
2024/11,0.4,0.1,-1.1,1.2
2024/12,-1,0.4,-0.8,1.5
