Periodos,pib_sa,pib_sa_vt,pib_sa_va
1993/01,13802938.26,1.088193383,3.925600199
1993/02,13803864.55,0.006710808,2.545887319
1993/03,13964367.44,1.16273878,2.268452635
1993/04,14052054.15,0.627931874,2.940234373
1994/01,14192961.84,1.002755089,2.825656174
1994/02,14517171.28,2.284297286,5.167442262
1994/03,14596494.13,0.546407054,4.526711969
1994/04,14753501.88,1.075653874,4.991780739
1995/01,14079213.94,-4.570358605,-0.801438767
1995/02,13225331.52,-6.064844424,-8.898701662
1995/03,13508720.91,2.14277723,-7.452290995
1995/04,13817617.08,2.286642624,-6.343475665
1996/01,14138391.08,2.321485624,0.420315619
1996/02,14290343.14,1.074747896,8.052816037
1996/03,14502006.23,1.481161736,7.352919096
1996/04,14961498.16,3.168471473,8.278425093
1997/01,15013395.76,0.346874368,6.188856165
1997/02,15371355.92,2.384271756,7.564638383
1997/03,15689591.06,2.070312768,8.189107167
1997/04,16131931.4,2.819323579,7.822968187
1998/01,16381893.94,1.549489234,9.115180877
1998/02,16496642.19,0.700457774,7.320670216
1998/03,16579144.88,0.500118034,5.66970681
1998/04,16608684.49,0.178173316,2.955337912
1999/01,16755894.87,0.886345834,2.283013971
1999/02,16877689.16,0.726874268,2.309845613
1999/03,17036796.14,0.942705975,2.760403331
1999/04,17207415.22,1.001473953,3.604925674
2000/01,17562071.68,2.061067632,4.811302647
2000/02,17786511.77,1.277981864,5.384757403
2000/03,17980809.43,1.092387658,5.541025929
2000/04,17778210.57,-1.126750528,3.317147541
2001/01,17895081.1,0.657380741,1.896185279
2001/02,17758108.42,-0.765420866,-0.159690434
2001/03,17721836.94,-0.204253069,-1.440271639
2001/04,17568748.66,-0.863839783,-1.178194569
2002/01,17459226.79,-0.623390253,-2.435609585
2002/02,17649247.09,1.088366071,-0.613023204
2002/03,17813025.69,0.927963638,0.514555867
2002/04,17851053.92,0.21348554,1.606860392
2003/01,17846063.78,-0.027954333,2.215659329
2003/02,17868090.44,0.123425899,1.239958567
2003/03,17877092.89,0.050382806,0.3596649
2003/04,18039385.25,0.907822982,1.055015158
2004/01,18277012.28,1.317267923,2.414809834
2004/02,18520991.93,1.334898969,3.654008183
2004/03,18509750.62,-0.060694985,3.538929581
2004/04,18707302.27,1.067284225,3.702548672
2005/01,18748763.59,0.22163177,2.5811183
2005/02,18752840.93,0.021747253,1.251817409
2005/03,18943013.87,1.014102023,2.340729829
2005/04,19294066.91,1.853205859,3.136554058
2006/01,19676167.03,1.980402152,4.946477858
2006/02,19841752.7,0.841554507,5.806649632
2006/03,19892102.17,0.253755128,5.010228579
2006/04,19963991.78,0.361397778,3.472180697
2007/01,20107079.4,0.716728491,2.190021903
2007/02,20234691.3,0.634661568,1.980362363
2007/03,20307737.24,0.360993577,2.089447712
2007/04,20359606.84,0.255417906,1.981643049
2008/01,20354106.26,-0.027017125,1.228556635
2008/02,20505531.01,0.743951865,1.338491909
2008/03,20521778.6,0.07923518,1.053989235
2008/04,20197939.77,-1.578025174,-0.794057894
2009/01,18952309.33,-6.167116317,-6.887047295
2009/02,18633041.36,-1.684586122,-9.131632092
2009/03,19309769.01,3.631869005,-5.905967579
2009/04,19731182.44,2.182384617,-2.310915545
2010/01,19814163.77,0.42055931,4.547490329
